Company ID,QA,Payload (kg),Launch Cost ($M),Price ($/kg),Orbit Altitude
JQLW34,3,60,1.5,"25,000",LEO
CWLNNS,7,"1,350",12.0,"8,889",LEO
6PD999,3,25,1.000,"40,000",LEO
B8ETN0,3,"25,000",48.625,"1,945",LEO
FUYSS9,2,100,1.200,"12,000",LEO
58FSTJ,3,100,1.000,"10,000",LEO
GOQEM1,8,204,2.500,"12,255",LEO
V6JNH2,2,150,1.15,"7,657",LEO
WOKBS5,3,10,0.250,"25,000",LEO
KDNFT0,3,150,2.000,"13,333",LEO
DT369D,3,30,0.900,"30,000",LEO
LMFK8S,2,500,10.000,"20,000",LEO
RWUJ6G,9,350,0.600,"1,714",Suborbital
RPJGF6,9,"45,000",114.3,"2,540",LEO
BZK6TT,2,16,0.200,"12,500",LEO
QTNJU5,2,22,0.493,"22,521",LEO
X7PPDM,4,434,1.500,"3,546",Suborbital
QWAIH0,2,5,0.250,"50,000",LEO
K7X7O1,1,50,1.0,"20,000",Suborbital
8Z19ZX,3,200,5.000,"25,000",LEO
41YBN9,5,100,1.976,"19,765",LEO
W8I2JO,3,"4,500",56.151,"12,478",LEO
WFYSLD,0,200,2.0,"10,000",LEO
96VT4L,4,600,4.500,"7,500",LEO
0I8U0K,1,"1,350",10.000,"7,407",LEO
1H013K,1,"3,000",3.0,"1,000",LEO
27COBW,2,"1,000",1.0,"1,000",Suborbital
8J0M61,5,180,4.500,"25,000",LEO
8K5T2G,2,25,0.125,"5,000",Suborbital
4C2YU7,3,"1,200",12.698,"10,582",LEO
EGBVW6,7,"1,000",15.0,"15,000",LEO
ZOAC2D,2,200,2.0,"10,000",LEO
163PSY,7,"4,000",57.6,"14,400",LEO
65A8K2,5,305,7.000,"22,951",LEO
54G4DS,4,5,0.15,"30,000",LEO
6AB2XN,3,80,0.760,"9,500",Suborbital
Y1NHU8,3,250,4.000,"16,000",LEO
NME77O,5,500,7.780,"15,560",LEO
R5NS4A,1,"45,360",440.9,"9,721",LEO
RYGG77,3,150,3.877,"25,853",LEO
OQBH32,2,200,4.500,"22,500",LEO
DZHF4M,2,500,12.5,"25,000",LEO
OWT6IK,3,40,0.500,"12,500",LEO
9UW2NY,5,100,0.440,"4,400",Suborbital
G00URE,2,"62,000",27.342,441,LEO
RZE16U,3,"1,500",17.647,"11,765",LEO
MTHKDL,5,"1,200",12.999,"10,833",LEO
YXQFXI,8,300,5.000,"16,667",LEO
BUYFCG,7,"4,000",39.060,"9,765",LEO
JULBWX,4,150,3.000,"20,000",LEO
J0K6II,5,773,10.000,"12,937",LEO
OK31U7,0,680,1.4,"2,500",LEO
CFOBY9,2,150,1.675,"25,000",LEO
L1FSG6,5,200,4.500,"22,500",LEO
60WI58,1,"1,000",8.000,"8,000",LEO
UDXTYD,5,"5,000",45.0,"9,000",LEO
V5VUTB,4,160,4.200,"26,250",LEO
NFT160,4,500,9.000,"18,000",LEO
WQ3YJM,6,200,3.200,"16,000",LEO
DEBJDP,5,220,1.205,"5,478",LEO
9IJL2G,4,200,4.800,"24,000",LEO
HMRTTJ,3,150,4.540,"30,267",LEO
PRNCVG,5,"6,000","12,567","5,600",Suborbital
YL1VWH,5,65,1.999,"30,769",LEO
8548WM,3,31,0.750,"34,000",LEO
E5AZSV,4,10,1.000,"100,000",LEO
YX5DYL,3,"1,150",13.047,"11,346",LEO
IBWAYY,4,100,1.2,"12,000",LEO
BRLAW7,3,150,4.5,"30,000",LEO
ENY48O,5,"17,000",14.629,860,LEO
N6ZMQZ,7,"1,250",10,"8,000",LEO
AX3EAN,3,"2,600",31.850,"12,250",LEO
1MF3VX,4,"1,100",14.653,"13,321",LEO
GHT2SE,9,300,4.899,"16,333",LEO
GZJMRS,3,300,6.0,"20,000",LEO
871I8R,1,"20,000",40,"2,000",LEO
OPUO4H,6,500,12.6,"25,200",LEO
BFONVD,3,400,8.1,"20,250",LEO
HRX4B5,2,100,0.1,"1,000",LEO
8XSKME,4,100,0.5,"5,000",Suborbital
ZFD30R,9,"63,800",90.021,"1,411",LEO
9SEH0R,4,100,0.5,"5,000",LEO
67FNYB,4,250,5.0,"20,000",LEO
C9LR0X,1,75,0.375,"5,000",Suborbital
JKCTLK,5,50,0.250,"5,000",Suborbital
H8VZ60,3,200,3.934,"19,670",LEO
XRKF4S,4,25,0.650,25999,LEO
3ERLYJ,0,500,1,"2,000",LEO
DSN4ZK,2,25,1.7,"68,000",LEO
EODRIL,5,"1,000",9.0,"9,000",LEO
E2DHSR,3,250,4,"16,000",LEO
GTFN9H,9,500,12,"24,000",LEO
JSPS1L,2,500,2,"4,000",LEO
5C86XB,4,100,3,"30,000",LEO
H10SF3,4,"1,500",3,"2,000",LEO
