ID,Company,Tech Type,Country,HQ Location
JQLW34,0-G Launch,"Plane, Rocket",USA,"Washington, D.C."
CWLNNS,ABL Space Systems,Rocket,USA,"El Segundo, CA"
6PD999,Acrux Aerospace Technologies,Rocket,Brazil,"Iguassu Falls, Paraná"
B8ETN0,Advanced Rockets Corp,Rocket,USA,"Los Angeles, CA"
47SMJ5,Aevum,"Plane, Rocket",USA,"Huntsville, AL"
FUYSS9,Agnikul Cosmos,Rocket,India,"Chennai, Tamil Nadu"
58FSTJ,ARCA Space Corporation,Rocket,USA,"Las Cruces, NM"
CA06Q8,Arianespace/Avio,Rocket,Italy,Colleferro
GOQEM1,Astra Space,Rocket,USA,"Alameda, CA"
NB0BE0,AvalonSpace,Rocket,United Kingdom,"Bristol, England"
V6JNH2,B2Space,"Balloon, Rocket",United Kingdom,"Bristol, England"
WOKBS5,Bagaveev,Rocket,USA,"Half Moon Bay, CA"
KDNFT0,Bellatrix Aerospace,Rocket,India,"Bangalore, Karnataka"
DT369D,Beyond Earth,Rocket,USA,"Menlo Park, CA"
LMFK8S,Black Arrow Space Technologies,Rocket,United Kingdom,"Swindon, England"
RWUJ6G,Black Sky Aerospace,Rocket,Australia,"Browns Plains, Queensland"
RPJGF6,Blue Origin,Rocket,USA,"Kent, WA"
Y0M21A,bluShift Aerospace,Rocket,USA,"Brunswick, ME"
YICCEW,C6 Launch Systems,Rocket,Canada,"Toronto, Ontario"
BZK6TT,Celestia Aerospace,"Plane, Rocket",Spain,Barcelona
QTNJU5,CloudIX,"Balloon, Rocket",USA,"Hayward, CA"
B239EB,CNIM Air Space,Balloon,France,Ayguesvives
X7PPDM,CosmoCourse,Rocket,Russia,Moscow
QWAIH0,CubeCab,Rocket,USA,"Mountain View, CA"
K7X7O1,CubeSat Solutions,Rocket,Thailand,Chiang Mai
8Z19ZX,Dark,"Plane, Rocket",France,-
41YBN9,Dawn Aerospace,Spaceplane,Netherlands,Delft
W8I2JO,Deep Blue Aerospace,Rocket,China,Beijing
WFYSLD,Deywoss One,Spaceplane,USA,"Merepoint, ME"
96VT4L,Earth to Sky,Rocket,USA,"Huntsville, AL"
0I8U0K,Eclipse Orbital,Rocket,USA,"Reno, NV"
1H013K,Enter Space,Spaceplane,Australia,"Sydney, New South Wales"
27COBW,EOS-X,Balloon,Spain,Madrid
8J0M61,Equatorial Space Systems,Rocket,Singapore,Singapore
140SJ0,ESC Aerospace,Other,USA,"Orlando, FL"
8K5T2G,Eutropia,Rocket,Australia,"Melbourne, Victoria"
4C2YU7,Exodus Space Corp,Spaceplane,USA,"Denver, CO"
R0BADA,Exos Aerospace,Rocket,USA,"Caddo Mills, TX"
MOUSUW,Fenix Space,"Plane, Rocket",USA,"San Bernardino, CA"
EGBVW6,Firefly Aerospace,Rocket,USA,"Cedar Park, TX"
ZOAC2D,Fore Dynamics,Rocket,USA,"Placentia, CA"
B0OOOF,Forever Space,Other,USA,"San Francisco, CA"
163PSY,Galactic Energy,Rocket,China,-
65A8K2,Gilmour Space,Rocket,Australia,"Pimpama, Queensland"
X2RMKY,Gloyer-Taylor Labs,Rocket,USA,"Tullahoma, TN"
54G4DS,Green Launch,Other,USA,"Edmond, OK"
JGQ966,Halo Aerospace,"Balloon, Rocket",USA,"West Palm Beach, FL"
6AB2XN,Hudson Space Systems,Rocket,USA,"Hoboken, NJ"
